Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
27/12/2013,-0.000753012,0.012668308,0.012749747,0.015789474,3.02,59.24,39.89,30.27,25.45
3/1/2014,-0.00477267,-0.005933233,-0.005450219,-0.000478278,3.01,58.48,39.06,29.56,25.39
10/1/2014,-0.026754165,0.010355242,0.005943192,-0.001993779,2.88,54.24,40.5,30.33,25.14
17/1/2014,-0.016467842,0.005480427,-0.001994936,0.001278568,2.84,51.7,41.27,30.07,25.3
24/1/2014,-0.04535267,-0.016564026,-0.026293534,-0.035195531,2.75,44.82,38.93,26.65,20.89
31/1/2014,0.030106339,-0.005830274,-0.004342677,-0.011332616,2.67,49.18,38.12,26.1,19.52
7/2/2014,-0.006904411,0.00535766,0.008168121,0.006024096,2.71,48.15,38.86,27.13,20.24
14/2/2014,0.037664529,0.028589947,0.023125934,0.022870925,2.75,53.73,42.83,30.07,22.99
21/2/2014,0.006114617,0.004550865,-0.001306989,-0.00317099,2.73,54.67,43.48,29.9,22.6
28/2/2014,-0.002586151,0.010524115,0.012625096,0.013539967,2.66,54.27,44.99,31.54,24.26
7/3/2014,0.010825177,0.006552176,0.01003497,0.008047642,2.8,55.94,45.94,32.86,25.26
14/3/2014,-0.004873669,-0.020967521,-0.019644739,-0.023551014,2.65,55.18,42.88,30.25,22.31
21/3/2014,0.043948962,0.007418813,0.013742802,0.014798463,2.75,62,43.94,32.04,24.12
28/3/2014,-0.046419753,-0.028345144,-0.004771281,0.001208508,2.73,54.48,39.86,31.41,24.27
4/4/2014,0.023951321,-0.006721007,0.004033179,0.005471956,2.74,58.18,38.92,31.94,24.95
11/4/2014,-0.109938045,-0.03102505,-0.026451417,-0.02344938,2.63,40.79,34.61,28.45,22.02
18/4/2014,0.04496058,0.023920957,0.027014402,0.023766596,2.73,47.12,37.83,31.92,24.92
25/4/2014,0.012166939,-0.004861061,-0.000758035,-0.002881844,2.68,48.91,37.16,31.82,24.56
2/5/2014,0.041501578,0.011883931,0.009558489,0.009312781,2.6,55.09,38.79,33.08,25.72
9/5/2014,0.021084532,-0.012608978,-0.001427713,0.004215717,2.62,58.36,37.04,32.89,26.25
16/5/2014,0.012818894,0.004597198,-0.000376251,-0.005544554,2.52,60.39,37.67,32.84,25.55
